,Account No,Amount,Third Party Account No,Third Party Name
20587,105375973.0,900.0,709632525.0,
78,108481285.0,640.0,913801979.0,
20564,108812033.0,830.0,386277162.0,
182,117308635.0,1200.0,255814263.0,
20276,119943495.0,400.0,352899149.0,
139,121113546.0,410.0,490790931.0,
20350,127809299.0,580.0,876890798.0,
471,128030172.0,280.0,550644516.0,
20326,132400709.0,370.0,340295966.0,
20356,136770968.0,620.0,787139484.0,
20677,143383029.0,530.0,656317661.0,
66,143606916.0,740.0,183546640.0,
20535,145387690.0,590.0,221868392.0,
371,146909202.0,1270.0,741269136.0,
20624,147341222.0,440.0,843537309.0,
410,147508204.0,740.0,189335192.0,
20408,149684419.0,1320.0,452974357.0,
20724,152616936.0,1250.0,683078800.0,
20704,155317149.0,620.0,530855891.0,
20650,155867488.0,1090.0,188263947.0,
169,158766229.0,430.0,534908754.0,
459,160166876.0,810.0,691789577.0,
103,165098840.0,670.0,111137699.0,
71,168414279.0,680.0,565175333.0,
20235,175452235.0,1310.0,835736339.0,
422,192202372.0,1170.0,376271050.0,
142,194745206.0,1340.0,899692478.0,
20598,202320275.0,430.0,688328251.0,
20434,211493028.0,680.0,999752672.0,
20428,212560376.0,510.0,648644594.0,
300,213096759.0,430.0,130522384.0,
8,215404070.0,780.0,768271776.0,
20440,216286013.0,670.0,570575024.0,
20569,223207876.0,1580.0,670427480.0,
20633,235310449.0,1600.0,780463728.0,
20672,248142083.0,550.0,138351025.0,
20252,248625662.0,920.0,416060965.0,
20301,248658670.0,940.0,121858569.0,
221,250895529.0,2220.0,420109571.0,
20665,250957494.0,780.0,331684336.0,
20517,254018059.0,240.0,817294757.0,
20508,258201793.0,570.0,627936697.0,
96,259015404.0,600.0,146383025.0,
129,261793952.0,700.0,587202562.0,
20481,262767079.0,540.0,990894155.0,
344,263882093.0,440.0,757694047.0,
20269,264550521.0,1010.0,151278285.0,
226,266777719.0,2520.0,849775403.0,
84,280098744.0,1230.0,660874296.0,
20273,280130290.0,420.0,894576902.0,
20323,280990953.0,620.0,668692488.0,
20595,282046994.0,650.0,607629901.0,
3,283027736.0,780.0,472213568.0,
468,284161641.0,640.0,204855464.0,
122,287480331.0,940.0,585596026.0,
20699,293609137.0,460.0,696333897.0,
367,299652176.0,650.0,898104045.0,
444,299871610.0,770.0,857754342.0,
364,300095518.0,440.0,957821152.0,
287,310375875.0,580.0,903663593.0,
20530,310620484.0,650.0,137913631.0,
20612,310740977.0,1110.0,366477356.0,
75,311467864.0,410.0,426466211.0,
391,331048953.0,920.0,758885184.0,
20602,333054026.0,1170.0,690523499.0,
394,344843570.0,640.0,138969884.0,
118,346874167.0,730.0,724537117.0,
204,347110339.0,450.0,625281433.0,
20729,348460748.0,660.0,982949451.0,
322,355602925.0,830.0,152488934.0,
189,358836279.0,740.0,630691258.0,
20445,364357875.0,840.0,833499132.0,
20490,364396689.0,420.0,218795010.0,
303,380911501.0,390.0,424927189.0,
20638,382862215.0,420.0,215832575.0,
40,384497904.0,430.0,119993184.0,
20260,385685918.0,2500.0,520239952.0,
20310,391559884.0,650.0,386729293.0,
441,401293808.0,650.0,357651163.0,
147,406862520.0,670.0,509627909.0,
19,407574996.0,1300.0,172084472.0,
20526,409370545.0,1910.0,285220959.0,
37,412823730.0,780.0,754141345.0,
20653,413557825.0,580.0,169689461.0,
20499,414454079.0,1650.0,134847904.0,
20691,421475159.0,390.0,651372390.0,
20472,421881811.0,2150.0,930277104.0,
20205,425730826.0,1910.0,191631876.0,
20608,429235692.0,520.0,293191074.0,
20313,433837402.0,1040.0,403902116.0,
20554,441142605.0,1120.0,741903302.0,
14,442079728.0,650.0,455831435.0,
20227,444371478.0,510.0,834581602.0,
20732,446720287.0,920.0,574548998.0,
447,448004226.0,770.0,627622066.0,
20405,449387287.0,920.0,316793091.0,
106,455052690.0,1280.0,630468201.0,
186,456246119.0,610.0,489964679.0,
491,460463595.0,710.0,135937041.0,
433,469330905.0,1270.0,920830317.0,
20395,469561218.0,390.0,859264768.0,
342,490868147.0,680.0,154246234.0,
20543,492215823.0,1360.0,492058070.0,
133,492850697.0,800.0,644751433.0,
20713,496865819.0,650.0,466649401.0,
20454,497772347.0,1020.0,674558824.0,
20466,508518911.0,920.0,373163757.0,
178,514362267.0,2110.0,124125096.0,
327,518378868.0,120.0,691012931.0,
20362,518746136.0,460.0,629078930.0,
357,537487133.0,590.0,930271460.0,
381,538003940.0,1250.0,147474476.0,
20320,546296727.0,720.0,486495235.0,
26,548907062.0,690.0,865748375.0,
20376,552980092.0,670.0,766692943.0,
306,556631012.0,830.0,282102606.0,
20459,570323670.0,1430.0,585133606.0,
273,572384506.0,1390.0,647936800.0,
20546,575652395.0,1610.0,134461671.0,
166,578131296.0,710.0,336557504.0,
214,583558311.0,770.0,673818591.0,
20696,586041848.0,1090.0,639549973.0,
20710,587225252.0,800.0,425964226.0,
225,593191200.0,770.0,454129843.0,
20209,595800644.0,390.0,581618317.0,
113,596171893.0,930.0,713910252.0,
354,600585971.0,430.0,499410772.0,
22,605711527.0,660.0,442070890.0,
20216,609939116.0,860.0,627917561.0,
155,615144184.0,730.0,274818272.0,
20279,621181115.0,630.0,555393405.0,
20399,637649383.0,1810.0,887156614.0,
192,641376155.0,650.0,499244466.0,
20482,642015139.0,480.0,342188343.0,
479,653667523.0,560.0,939972497.0,
20646,655730067.0,390.0,812839908.0,
110,657528784.0,630.0,971010829.0,
314,660561861.0,1270.0,698955014.0,
205,662610817.0,520.0,416074215.0,
60,666952234.0,500.0,776431321.0,
152,668175891.0,1110.0,833899961.0,
20573,669503912.0,230.0,596328017.0,
